timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2017-06-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-05-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-04-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-14,35.7650,35.7650,35.7650,35.7650,35.7650,0,0.0000,1.0000
2017-03-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-03-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-02-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2017-01-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-12-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-11-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-10-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-09-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-08-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-07-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-10,26.9460,26.9460,25.9900,25.9900,25.9900,0,0.0000,1.0000
2016-06-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-06-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-12,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-04,0.0500,0.0500,0.0500,0.0500,0.0500,9000,0.0000,1.0000
2016-05-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-05-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-28,27.2000,27.2000,27.2000,27.2000,27.2000,0,0.0000,1.0000
2016-04-27,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-26,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-25,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-20,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-19,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-18,0.0500,0.0500,0.0500,0.0500,0.0500,100,0.0000,1.0000
2016-04-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-13,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-12,27.7200,27.7200,27.2440,27.2440,27.2440,0,0.0000,1.0000
2016-04-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-07,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-06,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-05,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-04-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-31,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-30,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-29,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-28,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-24,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-23,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-22,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-21,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-18,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-17,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-16,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-15,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-14,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-11,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-10,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-09,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-08,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-07,28.7500,28.7500,28.3360,28.3360,28.3360,0,0.0000,1.0000
2016-03-04,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-03,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-02,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
2016-03-01,0.0500,0.0500,0.0500,0.0500,0.0500,0,0.0000,1.0000
